Sorular;Şıklar;Doğru Cevap ve Açıklaması
Sürdürülebilirlik kavramı doğal kaynakların bilinçsiz tüketimi nedeniyle ilk kez 1972 yılında hangi uluslararası konferansta gündeme gelmiştir?;"A) Paris İklim Zirvesi
B) Stockholm Konferansı
C) Rio Zirvesi";B - Sürdürülebilirlik kavramı doğal kaynakların bilinçsiz tüketimi nedeniyle uluslararası platformlarda tartışılmaya başlanmış ve 1972 Stockholm Konferansı ile gündeme gelmiştir[cite: 4, 7].
Dünyadaki çevre kirliliğinin büyük bir kısmının son 35 yılda meydana gelmesinin temel sebebi olarak yüzde 50 oranla aşağıdakilerden hangisi gösterilmektedir?;"A) Doğal afetler
B) Hızlı nüfus artışı
C) Uzay araştırmaları";B - Dünyadaki çevre kirliliğinin büyük kısmının son 35 yılda meydana geldiği ve bunun %50'sinin hızlı nüfus artışından kaynaklandığı görülmektedir[cite: 7].
Enerji ihtiyacımızın büyük bir bölümünü karşıladığımız ancak doğaya zarar veren kömür, doğalgaz ve petrol gibi kaynaklara genel olarak ne ad verilir?;"A) Yenilenebilir Enerji Kaynakları
B) Fosil Yakıtlar
C) Sürdürülebilir Yakıtlar";B - Kömür, doğalgaz ve petrol gibi kaynaklar yenilenemeyen enerji kaynakları (fosil yakıtlar) olarak adlandırılır ve çevre kirliliğinin giderek zorlaşmasına neden olurlar[cite: 5, 13].
Üniversite kampüslerinde su tasarrufu sağlamak için lavabolarda kullanılması önerilen teknolojik donanım aşağıdakilerden hangisidir?;"A) Sürekli akan şelale sistemleri
B) Sensörlü musluklar ve tasarruflu su donanımları
C) Sadece soğuk su akıtan musluklar";B - Su yönetiminde akıllı sulama sistemleri ve sensörlü musluklar gibi tasarruflu su donanımlarının entegrasyonu su tüketimini ciddi şekilde azaltır[cite: 4, 7].
"Gündelik hayatta ve okullarda atık miktarını azaltmak için ""kullan-at"" ürünler yerine ne tür ürünler tercih edilmelidir?";"A) Plastik ürünler
B) Yerel ve dayanıklı ürünler
C) Sadece ithal ürünler";B - Sürdürülebilir tüketim modellerini teşvik etmek için yerel ve dayanıklı ürünlerin kullanımının artırılması, kaynak tahribatının önüne geçer[cite: 2].
İklim değişikliğine ve küresel ısınmaya yol açan, karbondioksit (CO2) gibi gazların doğaya salınmasına ne ad verilir?;"A) Oksijen Salınımı
B) Sera Gazı Emisyonu
C) Karbon Nötrlüğü";B - Fosil yakıt kullanımına bağlı olarak artan sera gazı emisyonları, çevre kirliliği ve iklim değişikliği gibi kritik sorunlara yol açmaktadır[cite: 4].
Akıllı bir kampüste, otobüs şoförlerinin ve öğrencilerin duraklardaki bekleyen yolcuları anlık görebilmesi hangi teknolojinin faydasıdır?;"A) Gerçek Zamanlı GPS ve Araç Takibi
B) Eski Tip Telsizler
C) Basılı Haritalar";A - GPS ve Google Maps API kullanan uygulamalarla araçların ve yolcuların gerçek zamanlı takibi sağlanarak boş seferlerin ve gereksiz karbon emisyonunun önüne geçilir[cite: 3].
UI GreenMetric (Yeşil Kampüs) değerlendirmesinde, kampüs içindeki yeşil alanların oranı ve binaların sürdürülebilir tasarımı hangi kategoride puanlanır?;"A) Su Yönetimi
B) Eğitim ve Araştırma
C) Kurulum ve Altyapı";C - Kampüsün fiziksel çevresi, yeşil alan oranı ve bina tasarımının sürdürülebilirliği 'Kurulum ve Altyapı' kriterleri kapsamında değerlendirilir[cite: 4].
"Birleşmiş Milletler tarafından tüm dünyayı daha yaşanabilir kılmayı hedefleyen 2030 gündemi, kaç adet ""Sürdürülebilir Kalkınma Amacı""ndan oluşmaktadır?";"A) 5 Adet
B) 10 Adet
C) 17 Adet";"C - 2030 Sürdürülebilir Kalkınma gündemi; yoksulluğu sona erdirmek ve dünyayı korumak gibi entegre bir çözüm anlayışı sunan 17 temel hedeften oluşmaktadır[cite: 5]."
Ozon tabakasını incelten zararlı maddelerin tüketimini azaltmak amacıyla 1987 yılında imzalanan uluslararası antlaşma hangisidir?;"A) Montreal Protokolü
B) Kyoto Protokolü
C) Paris Antlaşması";A - 1987 yılında Montreal Protokolü'nde ozon tabakasını incelten maddelere ilişkin bir sözleşme imzalanarak, zararlı gazların tüketiminin azaltılması kararı alınmıştır[cite: 7].
